Model Selected,Discretizaion,Discretizaion Type,Number Of Bins,Normalization,Data Completed By,Max Tree Depth,Number Of Neighbors,Number Of Clusters,Majority,Accuracy,Recall,Precision,F1Score
Sklearn Decision Tree,Yes,Equal-width,4,Yes,Classification Column,5,Not Relevant,Not Relevant,51.50023080473919,56.18461538461539,56.18461538461539,76.0171353122402,0.43477574977908484
Sklearn NaiveBayes,Yes,Equal-width,4,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,57.438016528925615,67.21311475409836,67.21311475409836,78.2195143333041,0.6575391821293461
Sklearn NaiveBayes,Yes,Equal-depth,3,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,46.026490066225165,97.2027972027972,97.2027972027972,97.72320702553262,0.9709195233670758
Our NaiveBayes,Yes,Equal-width,4,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,1,75.40983606557377,75.40983606557377,75.31511839708561,0.7534192619555327
Our NaiveBayes,Yes,Equal-depth,4,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,1,16.602316602316602,70.49180327868852,3.9138949734976225,0.2689408588995793
Our NaiveBayes,Yes,Equal-depth,4,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,1,16.602316602316602,70.49180327868852,3.9138949734976225,0.2689408588995793
Our NaiveBayes,Yes,Equal-width,3,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,1,77.04918032786885,77.04918032786885,76.93841382365973,0.7690892531876138
Our NaiveBayes,Yes,Equal-depth,4,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,1,14.788732394366196,68.85245901639344,81.69757984526879,0.24270630730758544
Sklearn NaiveBayes,Yes,Entropy Based,4,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,57.438016528925615,42.62295081967213,100.0,75.54420854608975,0.2547578669681552
Sklearn NaiveBayes,Yes,Entropy Based,3,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,57.438016528925615,42.62295081967213,100.0,75.54420854608975,0.2547578669681552
Sklearn NaiveBayes,Yes,Entropy Based,2,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,57.438016528925615,47.540983606557376,47.540983606557376,76.48388920293951,0.35445170302806195
Sklearn NaiveBayes,Yes,Entropy Based,3,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,51.485300908111434,89.1076923076923,89.1076923076923,89.85605236496465,0.8900259035299702
Sklearn NaiveBayes,Yes,Entropy Based,2,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,51.485300908111434,89.1076923076923,89.1076923076923,89.85605236496465,0.8900259035299702
Sklearn NaiveBayes,Yes,Entropy Based,4,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,51.485300908111434,89.1076923076923,89.1076923076923,89.85605236496465,0.8900259035299702
Our NaiveBayes,Yes,Entropy Based,4,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,0,95.56923076923077,95.56923076923077,95.80235757727613,0.9555327578869812
Our NaiveBayes,Yes,Equal-width,3,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,95.56923076923077,95.56923076923077,95.80235757727613,0.9555327578869812
KNN,No,None,None,Yes,Classification Column,Not Relevant,2,Not Relevant,57.438016528925615,42.62295081967213,100.0,42.62295081967213,0.5977011494252873
KNN,No,None,None,Yes,Classification Column,Not Relevant,2,Not Relevant,57.438016528925615,42.62295081967213,100.0,42.62295081967213,0.5977011494252873
Sklearn NaiveBayes,No,None,None,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,57.438016528925615,42.62295081967213,100.0,75.54420854608975,0.2547578669681552
Our NaiveBayes,No,None,None,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,42.62295081967213,62.295081967213115,62.295081967213115,62.120218579234965,0.6219095349984834
Our NaiveBayes,Yes,Equal-width,3,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,42.62295081967213,78.68852459016394,78.68852459016394,78.61384335154827,0.786296693694795
Our NaiveBayes,Yes,Equal-width,3,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,42.62295081967213,78.68852459016394,78.68852459016394,78.61384335154827,0.786296693694795
Our NaiveBayes,Yes,Equal-width,4,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,42.62295081967213,73.77049180327869,73.77049180327869,73.61172648057894,0.7361020036429873
Our NaiveBayes,Yes,Equal-width,4,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,42.62295081967213,73.77049180327869,73.77049180327869,73.61172648057894,0.7361020036429873
Our NaiveBayes,Yes,Equal-width,3,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,57.377049180327866,78.68852459016394,78.68852459016394,78.61384335154827,0.786296693694795
Sklearn NaiveBayes,Yes,Equal-width,3,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,57.377049180327866,65.57377049180327,65.57377049180327,74.79137543948828,0.642934950712086
Our NaiveBayes,Yes,Equal-width,3,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,57.377049180327866,78.68852459016394,78.68852459016394,78.61384335154827,0.786296693694795
Sklearn NaiveBayes,Yes,Equal-width,4,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,57.377049180327866,68.85245901639344,68.85245901639344,78.97022069725082,0.6769411458823634
KNN,Yes,Entropy Based,3,No,Classification Column,Not Relevant,4,Not Relevant,52.98461538461539,51.75384615384615,0.9162303664921465,20.588235294117645,0.017543859649122806
KNN,Yes,Equal-width,4,No,Classification Column,Not Relevant,4,Not Relevant,52.98461538461539,51.75384615384615,0.9162303664921465,20.588235294117645,0.017543859649122806
Our NaiveBayes,Yes,Equal-width,4,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,57.377049180327866,73.77049180327869,73.77049180327869,73.61172648057894,0.7361020036429873
Sklearn NaiveBayes,Yes,Equal-depth,2,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,0.8900259035299702
